CustomerID,TotalRevenue,TotalOrders,ProductsPurchased
12539,5568.35,4,2067
16161,5533.67,19,2583
18225,5504.96,12,3242
16609,5493.46,7,2420
15805,5488.18,17,3367
16985,5464.12,10,1832
16265,5447.0,9,2646
18198,5425.56,17,4074
12490,5417.93,10,3064
17809,5411.91,12,2057
16701,5398.3,13,6393
17719,5396.04,15,2466
17850,5391.21,34,1733
16303,5360.63,3,2659
13269,5343.28,15,3513
17730,5298.4800000000005,13,3576
15150,5291.33,10,3642
17061,5232.2300000000005,11,1526
18226,5228.05,11,3466
12362,5226.23,10,2229
16258,5203.51,5,2994
13756,5189.52,14,3188
16191,5180.52,13,3351
15727,5159.06,7,3063
13599,5149.92,21,3293
17858,5140.66,12,2694
15903,5126.76,7,2410
13941,5112.96,5,2364
15046,5090.42,15,3372
16700,5076.55,13,4024
13139,5064.94,7,2425
12432,5059.32,5,1801
17602,5054.42,6,4116
15301,5049.95,12,2751
17426,5037.26,6,3094
15719,5030.07,13,2718
14755,5010.28,11,2219
14562,5006.77,18,1815
12444,5005.46,5,1153
14329,4975.24,7,3087
15032,4959.1,3,2968
12437,4951.41,18,2922
12700,4939.99,4,2967
14709,4921.04,13,2484
15786,4919.0,3,3340
15547,4910.6,14,3999
17133,4892.240000000001,7,2730
12664,4881.88,9,1203
12688,4873.8099999999995,1,3028
14292,4871.93,9,1663
17652,4867.72,12,2509
15738,4812.42,16,2982
13013,4810.9400000000005,13,2224
15298,4799.9,12,3116
15555,4794.86,16,4427
15187,4777.18,16,1887
17365,4767.36,8,4749
12955,4757.16,11,3664
14180,4748.52,25,719
15152,4745.69,13,2704
16722,4730.81,13,5001
17690,4726.8,15,1769
12714,4708.86,5,3069
14135,4690.31,15,3850
14191,4684.76,13,3662
15291,4668.3,15,2103
14189,4654.08,15,3937
14390,4642.57,9,2133
14159,4630.35,11,4348
14286,4628.75,3,4338
13802,4599.42,3,2572
15093,4597.02,6,3760
14004,4582.64,7,2668
16931,4554.87,21,3134
17068,4552.14,21,2164
17613,4544.55,14,2490
12484,4527.32,6,2187
13267,4521.49,19,1969
15299,4507.01,7,2948
12524,4485.72,8,3699
17975,4483.26,13,1565
14426,4481.67,10,2699
12627,4478.53,7,2752
17364,4462.68,11,2692
16984,4459.52,2,2380
13069,4431.44,24,5873
14085,4421.29,18,3177
15955,4416.26,14,2135
16626,4413.1,17,2690
15874,4405.88,7,2534
14534,4397.3,18,2027
12712,4396.13,13,1062
13505,4393.63,4,2486
12752,4366.78,1,2262
16945,4345.5,19,2725
14016,4341.21,4,2125
14800,4331.79,12,3644
17567,4331.48,8,2632
18251,4314.72,1,7824
12347,4310.0,7,2458
17937,4301.22,7,1754
15034,4274.16,8,2413
14422,4263.64,6,2906
12500,4257.82,11,2678
17419,4226.57,12,1876
14525,4215.9,9,2637
15804,4206.39,13,2565
15971,4199.85,12,1717
12747,4196.01,11,1275
14146,4191.0,5,2437
14277,4188.0,3,1976
12949,4167.22,8,2381
13384,4151.93,7,2422
15570,4148.82,12,2063
13988,4147.96,6,3044
12569,4124.69,32,1801
17920,4119.5,17,2473
16592,4113.68,16,2927
13555,4098.88,4,2636
16401,4098.32,12,3882
18041,4097.37,21,3758
16670,4095.9,11,2556
12749,4090.88,5,1471
14092,4076.91,14,2066
12449,4067.29,4,1553
17377,4058.32,20,2038
18087,4055.7199999999993,2,3907
14401,4051.48,13,4507
12656,4051.17,5,1723
16549,4034.9,10,2294
13815,4027.36,4,2560
15514,4023.7200000000003,11,2098
17940,4020.04,10,9323
12957,4017.54,8,2549
12867,4009.34,7,4284
12378,4008.62,1,2529
16186,4006.94,12,3020
12841,3991.58,25,2720
17001,3989.57,11,2164
15416,3984.32,4,2090
12779,3981.36,8,2024
12727,3980.7,7,2098
14547,3974.75,8,2639
14299,3965.62,9,2149
13523,3964.88,5,1752
15529,3962.6,11,3455
17611,3961.12,15,2550
13183,3957.78,9,2208
17769,3957.43,10,1850
17651,3945.0,10,3112
12473,3928.0499999999997,5,2414
17593,3923.86,5,3089
14739,3902.28,7,3820
13999,3901.81,12,2243
14291,3883.25,11,2749
15195,3861.0,1,1404
18073,3859.82,12,3102
12662,3849.78,11,2058
16717,3843.08,6,1860
13266,3834.2599999999998,12,4428
17091,3827.76,9,1746
16327,3820.27,6,2560
12755,3811.95,2,1491
12597,3811.22,4,2236
15867,3810.14,15,2052
13435,3809.8900000000003,7,2129
12668,3807.15,4,1634
16145,3799.4900000000002,11,3123
16655,3789.52,6,2363
16168,3787.6,27,1892
16019,3786.2400000000002,9,1733
12562,3781.7400000000002,7,1779
17173,3766.6,8,1122
13124,3756.33,3,2119
12429,3750.4,4,1557
14145,3742.2,4,756
13552,3740.07,12,1417
16570,3738.4,10,2112
12502,3723.87,5,820
12647,3722.82,12,1431
13680,3719.12,4,1934
17238,3719.1,17,1807
16240,3718.8,2,1641
14364,3717.35,8,1967
15845,3711.77,8,1926
15622,3709.56,9,1674
17819,3704.87,7,1031
15379,3703.29,7,2305
14282,3701.44,15,2656
12553,3692.28,10,1965
16253,3683.86,2,3233
13148,3683.26,12,1965
15581,3675.77,13,283
15296,3672.86,6,1766
16904,3653.75,16,1984
15808,3651.27,4,1305
12417,3649.1,9,1552
13426,3641.32,10,2245
12619,3641.24,9,3378
16440,3640.67,5,2018
13381,3639.31,6,2029
17230,3638.41,8,1651
17528,3628.5,8,2138
13327,3627.77,8,1600
13520,3624.35,6,1649
13082,3613.63,9,4324
18079,3613.15,4,7347
16712,3611.31,11,1730
15505,3610.96,5,2390
13137,3603.29,8,2204
14543,3599.73,16,675
15484,3590.41,4,3150
14132,3586.0299999999997,11,3368
16242,3579.86,7,1969
17576,3564.83,19,1967
14040,3560.32,12,1544
17203,3560.08,6,2846
17491,3558.87,10,2013
15544,3546.71,9,3109
14503,3543.26,6,2004
12370,3541.94,4,2352
13448,3534.69,6,1648
12454,3528.34,1,1006
17160,3518.03,6,2856
13953,3515.68,7,2724
15113,3509.43,3,2344
16131,3506.54,6,1802
13334,3502.32,3,1764
14907,3501.1,7,1691
16458,3482.7400000000002,18,2154
14395,3479.91,9,1689
13993,3466.36,9,900
13014,3466.2799999999997,10,905
15410,3450.84,8,1200
16360,3450.41,6,2110
15129,3447.4,11,1794
13536,3444.39,7,2126
15974,3442.15,7,2262
17725,3439.08,11,2162
15676,3435.76,3,2252
14221,3432.8,9,2191
12406,3415.3,2,1818
15981,3408.48,8,1866
17758,3408.2000000000003,8,2054
13437,3408.06,7,1283
17669,3406.7200000000003,7,1916
13198,3401.2400000000002,6,2648
15228,3386.71,4,2255
13842,3385.62,9,1768
16011,3352.96,16,2035
14227,3350.96,10,1820
16818,3349.57,11,2164
16607,3347.71,14,2859
17183,3347.31,6,1296
12643,3344.64,6,1808
12613,3344.38,5,1644
13015,3339.64,5,1609
12594,3338.2200000000003,10,1777
16556,3313.79,7,1890
13373,3312.25,3,1651
14841,3295.76,6,1778
15632,3285.31,8,2109
12480,3281.63,4,1707
15764,3279.97,6,2050
17723,3276.4000000000005,6,792
14702,3251.79,17,1439
13952,3251.071,2,1431
13047,3237.54,10,1391
15708,3235.25,7,1217
14175,3222.3,3,1515
13880,3219.77,13,1842
15443,3213.59,7,1639
14388,3212.84,8,1941
16107,3204.1600000000003,7,1176
13868,3192.54,2,1964
13758,3190.55,7,1844
14844,3189.81,4,1833
17220,3187.55,14,1897
17050,3185.64,6,1595
12456,3181.04,3,1633
17672,3178.17,2,1690
13268,3174.75,11,3624
16837,3170.98,11,1563
16041,3166.4,3,1584
17863,3160.0,6,2638
15065,3158.13,4,1383
17685,3155.83,7,1907
15861,3146.92,8,2528
14235,3144.86,5,1959
17231,3124.72,10,1724
13685,3119.44,7,5056
16678,3109.99,12,2397
13742,3107.87,12,1115
14099,3104.17,11,2179
15491,3100.09,6,1646
14257,3099.7200000000003,5,1682
14565,3099.12,4,1540
13135,3096.0,1,4300
16156,3092.04,9,1273
13362,3090.7400000000002,4,1382
16218,3084.68,7,2088
13869,3083.65,4,1709
17059,3080.39,5,1850
15998,3080.22,5,2032
18272,3078.58,6,2050
12910,3075.04,8,1692
13631,3070.42,11,467
16940,3049.88,3,2169
16393,3040.96,13,1573
16326,3039.2200000000003,14,682
17799,3039.17,10,1753
16905,3037.6,7,1381
16709,3029.87,5,851
12598,3023.08,8,1964
12395,3018.63,12,2118
18094,3017.3,7,2518
14456,3017.28,9,2885
12754,3010.74,3,6481
15521,3000.2,8,1836
17659,2999.46,12,1525
17504,2997.0299999999997,9,1664
12670,2996.05,5,1397
14307,2995.72,6,2058
15687,2993.1,9,1310
14639,2984.49,6,1431
14032,2975.59,11,2032
15854,2969.12,12,926
16497,2965.69,6,1396
17924,2962.5,7,1160
16686,2959.88,7,1977
14868,2953.59,8,1405
12916,2944.95,4,1083
17444,2940.04,3,2119
16316,2938.91,8,1484
17512,2924.9900000000002,10,2753
15606,2920.16,9,892
12906,2919.81,5,1749
14112,2915.15,7,1651
12438,2906.85,2,1180
13451,2898.2599999999998,5,2128
17644,2895.64,11,1793
18144,2888.75,12,1343
12408,2888.55,5,1409
13735,2883.54,4,1128
16633,2883.1,6,1138
14251,2879.7000000000003,5,1674
17728,2876.01,3,1469
14005,2874.72,5,2478
15628,2870.2400000000002,9,1894
13901,2867.2,5,1739
12685,2863.08,6,1523
14530,2862.11,6,1395
18145,2861.55,4,2625
14535,2854.84,3,1824
14711,2839.62,11,966
14852,2836.69,6,1747
14842,2824.69,4,1166
16928,2814.7,17,2092
16871,2812.34,6,1253
12356,2811.43,3,1591
18230,2810.2000000000003,7,1316
17596,2806.69,7,4376
14572,2804.54,7,1420
16081,2799.42,5,1473
13769,2796.51,10,1163
14903,2795.33,5,1531
12578,2794.51,2,1196
12758,2791.59,2,2135
17739,2791.35,7,861
14626,2791.27,4,1403
16764,2790.9500000000003,13,1253
17213,2781.23,7,1176
12388,2780.66,6,1462
15984,2780.63,10,1815
14121,2780.15,4,2082
15993,2777.67,7,2037
13870,2770.94,8,1325
15114,2760.56,10,3096
13971,2758.26,8,1844
13230,2755.63,14,1638
15321,2748.31,3,1181
17084,2747.9900000000002,2,1702
12669,2744.0299999999997,3,1115
13174,2742.82,3,1352
14854,2740.03,7,1820
16003,2735.37,5,1185
12840,2726.77,4,1511
15673,2726.23,4,1451
12380,2724.81,4,1127
17838,2720.8,5,1831
14125,2720.63,3,1628
14808,2718.6,8,2120
15356,2718.03,10,1643
12708,2712.91,10,1307
16938,2711.6800000000003,4,2533
15696,2711.11,8,1015
17069,2709.7000000000003,9,1506
13285,2709.12,4,2051
15796,2708.61,8,860
13654,2707.33,6,2182
14107,2703.23,7,1793
14732,2702.4900000000002,8,1405
17386,2686.42,6,1902
12625,2683.82,2,1612
13883,2674.48,5,1436
18097,2662.4,6,1662
14713,2662.2,11,1613
12360,2662.06,3,1165
14439,2661.24,1,526
15671,2657.13,7,1699
12721,2656.13,6,1959
13851,2651.46,3,1705
16618,2647.59,5,1363
13658,2639.17,5,1019
17655,2638.94,7,1116
13771,2634.45,4,1477
12520,2634.26,5,1439
17402,2633.85,13,701
18260,2628.35,6,1475
15752,2626.6,7,1960
13422,2626.3,1,1326
13644,2624.26,4,2067
17346,2622.88,15,1617
18210,2621.38,6,1398
16255,2619.91,8,1767
14262,2618.23,8,1645
13021,2616.38,9,1352
15782,2614.7400000000002,3,864
14397,2612.96,19,1890
18075,2611.75,10,1464
12836,2610.36,4,1062
12726,2609.1,7,3143
13136,2607.61,5,1328
13983,2603.43,12,1183
17317,2600.34,3,1146
17965,2599.19,14,1532
12600,2599.04,10,774
14408,2599.03,7,1610
13895,2593.07,4,1365
16919,2592.25,11,1403
16241,2590.31,13,1443
14243,2588.77,10,1221
13804,2588.39,7,1462
18077,2584.41,11,1839
13911,2580.91,9,2731
14546,2573.93,5,1313
18245,2567.06,7,1788
15485,2564.5,3,1281
16308,2560.0,4,8000
15033,2557.18,10,1672
16912,2555.58,11,1025
14334,2552.21,8,1731
14676,2548.2400000000002,6,2500
14776,2538.3,11,3134
17700,2534.64,4,1266
15572,2533.42,7,1213
14659,2529.93,9,1195
17314,2527.92,8,1896
14701,2526.09,9,921
13394,2520.02,8,2392
17449,2519.21,7,1121
15245,2515.84,3,1784
13344,2511.69,3,952
12352,2506.04,8,536
13695,2504.13,15,1603
13471,2501.84,4,1583
15932,2495.87,8,2325
16477,2494.46,7,1415
15271,2493.34,15,1251
12483,2484.98,8,1110
12913,2483.63,5,1419
12517,2481.6,5,1361
14315,2481.13,6,1021
13507,2479.16,4,1597
13588,2478.95,9,2606
17682,2474.33,6,1367
17188,2474.23,7,1328
14766,2473.37,6,1349
16710,2467.99,10,1823
17164,2467.35,7,1501
12455,2466.86,6,2089
17131,2463.17,5,983
15750,2463.05,8,1783
13784,2462.79,11,2493
13975,2461.2400000000002,6,1697
15674,2446.6,5,1275
14163,2445.91,4,893
14502,2429.83,11,1480
17071,2429.03,9,1197
15527,2428.53,8,991
13949,2427.32,6,2474
16143,2424.94,6,919
17722,2424.04,4,1595
15089,2420.84,6,1359
15373,2415.91,12,500
12397,2409.9,2,1263
17589,2404.17,4,1631
15980,2398.86,3,1560
18065,2392.83,14,1027
13141,2388.75,5,1548
15370,2386.05,7,830
14493,2383.2400000000002,5,1285
14239,2380.85,11,993
15270,2379.49,7,1521
13722,2375.41,3,1401
17434,2373.82,7,1693
13908,2369.55,4,1478
17530,2367.12,10,1514
15755,2364.25,6,1427
12457,2363.23,7,843
14930,2362.96,3,1160
14030,2358.84,8,1478
17634,2358.59,9,838
14440,2357.6800000000003,5,588
15140,2354.25,7,1572
14309,2352.53,9,1633
12704,2340.84,8,1006
18259,2338.6000000000004,3,714
12584,2338.15,9,416
18257,2337.63,8,1041
15281,2332.15,9,1211
12782,2330.92,5,1086
15785,2328.9700000000003,5,1612
17313,2328.84,1,1402
17744,2322.4,6,3412
17211,2317.2200000000003,8,1323
14290,2314.65,5,915
15365,2314.32,7,1084
17954,2314.13,12,2221
13704,2308.06,9,1531
15288,2306.52,5,775
16550,2298.97,5,1540
15105,2298.93,7,1211
13115,2294.78,4,1567
15704,2293.62,4,1028
12615,2291.19,4,1376
17696,2285.71,8,1756
12684,2283.63,7,1985
14554,2279.4900000000002,4,1443
13994,2274.14,6,932
13317,2273.68,6,1035
14466,2272.4,7,1006
16782,2267.9500000000003,13,705
16057,2263.12,7,863
16209,2262.62,5,1179
16293,2248.9900000000002,10,982
13700,2248.63,10,2281
17442,2248.56,6,1496
14432,2248.5,6,2013
15235,2247.51,12,1324
16735,2247.41,5,1532
16771,2242.61,5,1487
13527,2242.36,7,1683
14211,2241.1,9,1242
14560,2237.77,22,1260
16076,2234.73,10,1435
18242,2232.4900000000002,4,1017
12783,2225.91,6,624
13365,2225.37,2,1247
15834,2225.15,4,961
15665,2222.21,2,1654
14825,2221.01,12,989
15811,2218.62,6,1071
12876,2218.02,2,1941
14226,2214.79,5,1296
16743,2213.13,7,2035
15722,2211.21,5,1023
12653,2209.85,2,919
13862,2209.36,8,1688
15797,2207.4,4,873
15179,2206.95,5,1938
17591,2203.67,7,1000
15123,2199.31,2,1195
13831,2198.45,6,743
14700,2195.1,3,1314
16628,2188.05,5,1205
17406,2184.42,3,780
15394,2183.54,4,910
12909,2178.67,5,1280
12856,2170.78,6,1076
12501,2169.39,1,1783
14341,2166.98,8,1397
12633,2163.98,4,1162
12935,2160.7,7,1853
16456,2158.18,5,1147
14407,2157.73,6,1415
16379,2157.4,4,1410
13224,2155.95,2,1518
16966,2154.97,7,1981
17272,2148.63,4,1778
14828,2139.76,3,2172
12560,2134.01,3,1110
13517,2128.42,3,1369
18061,2119.41,10,955
13632,2118.93,5,1031
14360,2118.03,4,1139
18008,2116.19,9,1581
14691,2114.33,5,707
13755,2108.06,9,1242
14640,2107.38,6,880
18173,2106.84,4,1220
18093,2106.52,4,1392
14461,2103.06,3,766
15058,2102.54,11,1054
15815,2100.6,5,1856
13126,2099.64,8,2143
12610,2099.54,5,1049
17861,2097.88,8,1985
17400,2097.84,5,1088
16875,2095.53,5,1069
17191,2093.68,7,1166
14306,2093.32,2,1075
13265,2092.66,5,1740
17490,2092.32,7,1134
13297,2089.85,4,963
13571,2088.94,12,1757
18044,2088.6,10,1033
14810,2085.33,11,1015
16954,2085.08,9,1054
17768,2081.9,3,1122
16407,2079.68,10,1093
14696,2078.95,7,1630
14515,2076.89,6,1110
14209,2073.43,6,691
18241,2073.09,17,1051
18231,2071.77,5,819
18219,2069.77,10,885
12948,2064.95,7,1080
12928,2062.7000000000003,5,1472
16281,2062.06,1,934
14409,2059.4500000000003,6,1230
12518,2056.89,5,1318
17667,2055.51,5,1033
14188,2054.36,6,1162
16150,2053.02,5,1047
17086,2050.08,6,1859
17612,2048.45,6,1808
14232,2048.07,5,1941
18283,2045.53,16,1357
13495,2044.8700000000001,5,829
17597,2044.3700000000001,1,1176
13450,2043.7199999999998,6,1982
14001,2043.0800000000002,3,962
12585,2040.1,2,1279
17846,2033.1,1,1
13630,2031.78,7,1391
16358,2027.5,4,1302
16409,2022.98,5,1304
14482,2022.81,6,1627
15341,2020.52,1,812
17625,2020.4,4,1180
13593,2011.88,5,719
18069,2009.24,5,1296
15372,2007.3999999999999,1,2924
16098,2005.63,7,613
14217,2004.98,17,689
14544,2004.3,2,1536
17082,2003.85,2,1049
16754,2002.4,1,4280
18188,2001.04,3,1168
13305,2000.86,10,1232
16698,1998.0,2,840
17679,1992.1100000000001,2,729
17088,1991.01,4,868
17827,1987.33,5,1240
13590,1981.92,6,1848
17337,1981.06,4,1247
14462,1980.57,11,956
13725,1980.56,8,806
17422,1979.37,6,2253
18204,1975.35,3,1190
17090,1974.65,7,903
15531,1972.39,2,1085
16341,1971.87,4,1398
12674,1970.6,4,1133
17790,1964.3,14,835
17997,1962.46,8,2273
13246,1961.52,6,1587
14506,1960.65,5,704
14498,1957.32,5,1098
12853,1957.1000000000001,6,800
15493,1953.41,5,551
17554,1952.45,5,1763
17218,1951.97,10,955
14533,1949.72,7,4019
15814,1945.33,4,1271
14418,1937.25,3,1711
15864,1936.3200000000002,6,1192
15157,1936.07,3,2392
15351,1934.66,7,742
12528,1933.48,6,756
14655,1932.23,4,1089
13094,1927.3200000000002,12,1716
14653,1926.65,7,945
15518,1921.55,8,1263
14978,1921.3700000000001,5,523
14285,1910.01,4,541
17228,1906.09,8,1532
16983,1905.87,7,1335
14210,1905.8400000000001,6,760
15819,1905.45,4,1357
16942,1904.99,9,805
14250,1904.05,3,1200
12762,1898.52,2,1227
14730,1897.57,8,1078
14934,1890.94,2,1042
12371,1887.96,2,591
15641,1887.2,4,1562
16170,1885.05,6,1770
13890,1883.8100000000002,10,831
16128,1880.22,5,988
17738,1879.05,4,1029
17368,1878.87,8,1377
15367,1877.59,4,1057
17463,1875.86,5,1086
16986,1873.2,2,1040
13982,1871.81,4,1136
15021,1871.77,9,819
17469,1870.97,5,787
16841,1869.82,6,2250
17870,1865.89,12,1351
16426,1863.76,10,1215
16201,1863.47,4,1286
14887,1862.0,1,1100
12423,1859.31,8,1339
14305,1858.96,3,1089
12963,1856.63,8,881
17293,1854.06,9,1135
14472,1852.67,8,1135
16979,1852.0,6,865
12383,1850.56,5,1532
17873,1848.96,5,1035
12381,1845.31,5,808
17519,1844.02,6,1236
14524,1843.83,9,669
18180,1843.75,6,1721
12950,1843.0,3,1380
16102,1842.14,3,942
16455,1841.18,7,988
14113,1840.42,4,745
14216,1839.3,4,594
13924,1838.8500000000001,6,1575
17015,1838.6100000000001,3,1978
14459,1837.92,1,760
18287,1837.28,3,1586
13650,1836.34,6,922
15827,1836.0900000000001,14,882
14665,1835.7,5,740
13421,1833.71,2,1128
16152,1829.04,1,642
15203,1827.8,6,1753
17702,1824.37,4,1353
16153,1824.23,5,1073
17705,1823.52,9,963
16169,1822.97,4,1325
17828,1820.09,4,667
13048,1819.41,4,1228
17787,1817.54,4,896
17629,1814.12,8,1629
15260,1810.77,7,885
16474,1810.65,7,909
13481,1804.56,5,1142
17663,1802.91,7,797
15812,1801.14,5,922
16249,1800.07,5,950
13562,1799.33,3,757
13196,1797.78,4,1224
17648,1797.5,4,487
12348,1797.24,4,2341
18235,1796.48,3,1578
13134,1793.58,4,1059
18179,1793.17,6,1360
18122,1793.06,6,1225
13510,1791.56,4,1386
12523,1789.77,11,865
14215,1789.72,6,1358
14621,1788.3600000000001,5,993
13875,1786.79,5,1316
14608,1785.15,4,437
14935,1784.71,1,935
15220,1778.96,6,1393
12645,1775.18,4,1084
17092,1774.03,4,1130
15594,1771.78,5,983
15473,1771.2,7,672
16681,1770.34,6,1407
16719,1770.22,7,1175
13456,1766.72,6,765
16751,1764.72,1,1031
12424,1760.96,2,740
12823,1759.5,5,230
12349,1757.55,1,631
15241,1756.44,8,1818
16359,1750.92,9,1183
13808,1747.66,5,782
15067,1744.76,3,954
15950,1744.71,4,719
16380,1743.1499999999999,1,1428
13157,1741.22,4,1439
14595,1740.6,6,978
17930,1740.48,5,1594
17353,1740.0,2,1200
17457,1737.7,5,826
15050,1737.69,3,1216
14673,1736.4,5,1004
17043,1735.18,4,998
14387,1727.6,3,795
13564,1724.67,3,636
17451,1721.4,7,1203
14834,1720.3,6,734
15267,1717.36,5,944
17162,1715.46,10,1001
13763,1714.96,1,728
17147,1714.59,4,882
14441,1712.89,4,446
17750,1710.45,9,3747
12405,1710.39,1,857
15947,1708.24,1,898
12407,1708.1200000000001,5,1416
16902,1706.88,1,629
15240,1706.57,5,1369
16398,1705.8,2,758
